DESCRICAO,APRESENTACAO,QUANTIDADE,TOTAL_BRUTO,TOTAL_LIQUIDO,PROD_SALDO,VALOR_ULT_COMPRA
DIP BETAMETASONA+FOSF DISSODICO D,5+2mg sus inj amp x 1ml,85,"1687,339949","843,5100079",4,"4,78000021"
PLENANCE 20MG 90 COMP,20mg cx 90 comp rev,9,"1683,480026","1346,799942",1,"136,2700043"
BIOPANTOVIT BOLDO C/60 FLAC 10ML - ART.N,,18,1683,"841,5",6,"20,98999977"
TAMISA 20 63 COMP REVESTIDOS,,27,"1681,459969","1338,639957",1,"46,63000107"
MONURIL 1X8 G,,33,"1674,599968","1339,770035",5,"37,52000046"
"BRASART HCT 160 12,5MG C 90 COMP",,14,"1661,779968","1329,439972",0,"87,20999908"
IVERMECTINA,6mg cx 4 comp,65,"1617,85001","821,2200041",5,"5,497499943"
ENGOV C/6 COMPR.,6 COMP.,295,"1615,769964","1109,800026",8,"4,130400181"
LEVEL,63 COMP,27,"1595,789978","1230,179974",0,"44,34999847"
VONAU,FLASH 4MG CX 10 COMP DES ORAL,45,"1522,079967","1225,509995",3,"25,12000084"
GRAV TEST NECKERMAN,NECKERMAN,104,1508,"799,0500011",43,"2,690000057"
LACRIFILM,5mg/ml sol oft fr gts 10ml,86,"1500,220039","1198,889983",6,"13,11499977"
MESALAZINA,800mg cx 30 comp rev,18,"1481,180008","530,7599831",-5,"30,56579971"
NEOPIRIDIN C/12 PAST.NEO QUIMICA,C/12 PASTILHA,205,"1471,040014","1247,520005",61,"4,75"
PANTOPRAZOL 40MG C/28 COMP REV GEN ,,19,"1465,090012","732,4499855",0,"10,25500011"
CORTICORTEN (PREDNISONA) 20 MG.C/20,PREDNISONA N.Q.20 MG.C/20 COMPR,69,"1454,430052","743,7400227",15,"5,78000021"
POLTAX,50mg cx 20 comp rev,90,"1453,499966","726,2999725",44,"2,825400114"
OMENAX,20mg cx 56 cap,46,"1439,559994","719,56001",7,"5,742000103"
IBUPROFENO 600MG ,600mg cx 280 comp rev emb frac,5,"1419,019989","709,5099945",4,"89,44000244"
TORAGESIC 10 MG C/10,10 MG C/10,39,"1406,459988","1114,470005",6,"27,93000031"
CITRATO DE SILDENAFILA 50MG,4 COMPRIMIDOS,48,"1404,599991","888,6699924",11,"5,409999847"
SIBLIMA,"0,015mg + 0,060mg comp 72",17,"1381,400032","1105,150032",-1,"57,02000046"
DIPIMED GOTAS 20ML,SOL GTS FR 20ML,131,"1377,979965","712,0199823",164,"1,730000019"
VITER C EFERVESCENTE 1G X 10 - NATULAB LABORATORIO,,64,"1362,039972","687,5899868",12,"3,63722229"
DEOCIL SL,10MG CX 10 COMP,44,"1353,87999","1064,479988",6,"21,79999924"
SULF DE NEOMICINA BAC ZINCICA 5MG/G,POMADA,126,"1336,99996","700,1799793",99,"3,218300104"
CICLO 21,"0,15+0,03MG CX 21 COMP",177,"1310,919987","1036,729985",35,"3,859999895"
INFRALAX,300+30+125+50mg cx 30 comp,38,"1309,740044","654,900032",1,"6,366700172"
COLIRIO NEO BRASIL,"0,15+0,30mg/ml sol oft fr x 20ml",111,"1302,319987","664,0999937",18,"3,769999981"
BENICAR HCT,"40+12,5mg cx 30 comp rev",19,"1293,760048","1034,939999",2,"48,15000153"
VIAGRA,50MG CX 2 COMP,25,"1276,699982","1035,869982",2,"40,83499908"
SELENE,63,25,"1263,780014","1011,089981",1,"37,63000107"
ELANI CICLO 3X21 COMP,,10,"1263,399963","1010,699997",1,"88,65000153"
GEL NOCCAUTEADOR,200G,52,1248,"1099,200024",23,15
SINOT CLAV,400+57+5ml sus fa x 70ml,22,"1237,339989","989,9599991",1,"41,79000092"
ATENOLOL 50 MG,30 COMPRIMIDOS,49,"1234,770004","607,7600031",28,"4,756199837"
NOVAMOX 2X C/20 COMPR,875MG+125MG COM VER CT FR X20,11,"1227,230026","981,7999954",1,"80,72000122"
ENTRESTO 97+103MG 60 COMP,97+103mg cx 60 comp rev,4,"1209,280029","967,4400024",0,"234,5099945"
SIMETICONA,125mg cx 10 cap,72,"1204,559967","615,6799841",16,"3,730000019"
ALGINAC,1+50+50+50MG CX 15 COMP,45,"1176,210028","933,3700247",6,"19,67000008"
FLUIR 12 UG.C/60 CAPS.REFIL,REFIL C/60 CAPS                                   ,15,"1170,650017","936,5200195",1,"55,90000153"
ALIVIUN ,GOTAS 30ML,36,"1170,240051","936,0800018",11,"24,78000069"
LUFTAL GOTAS 15 ML,15 ML GOTAS..,52,"1162,790018","948,22999",3,"16,62999916"
"COMPRESSA  GAZE AMERICA 11FIOS 7,5X7,5CM 5DOB/8CAM",,1147,1147,"1095,800003",139,"0,5"
ACICLOVIR CREME 10G,50mg/g creme derm bg 10g,52,"1140,269997","570,1899996",8,"4,099999905"
COLIKIDS GOTAS 5ML,fr gts 5 ml,13,"1123,370003","910,8699875",4,"64,44999695"
ADDERA D3,50.000ui comp rev x 4,9,"1117,799995","894,2400055",1,"80,52999878"
IMOSEC C/4 COMPR.   *,CX.C/200 COMPR.,456,"1102,580036","788,2699976",46,"1,887199998"
ACETONIDA DE TRIANCINOLONA 1MG/G,POMADA BUCAL,93,"1101,35998","556,5699897",34,"3,683300018"
CIALIS 20 MG.C/4 COMPR.,20 MG.C/4 COMPR.,5,"1095,049973","876,0500336",0,"152,4100037"
BENICAR HCT,40+25mg cx 30 comp rev,16,"1091,320038","878,4000015",1,"48,15000153"
LAVITAN OMEGA 3 C/60 CAPS GEL,,34,1088,"723,2000046",51,"9,989999771"
SUSTRATE,10mg cx 50 comp,40,"1087,670034","870,2300034",1,"20,69000053"
CONDRES COLAGENO 40MG C/60 CAPS,,4,"1079,400024","863,5200195",0,"208,5500031"
DORALGINA C/20 COMPR.,DRGS CX C/2BL C/10,58,"1063,300016","540,8900108",54,"5,340000153"
TREZOR,20mg cx 30 comp rev,13,"1052,640007","842,1600189",0,"49,97000122"
COLIRIO MOURA BRASIL,COLIRIO,77,"1048,600001","852,6400156",21,"10,40250015"
NAPRIX 5MG C30,,18,"1046,119987","842,7700081",3,"40,77999878"
TRAXONOL,100mg cx 15 cap,13,"1043,190018","521,5700226",9,"19,82500076"
BUSONID 64 MCG,6ML,24,"1041,360031","832,9999847",2,"33,04999924"
DORALGINA C/4 DRAGEAS,DGS CX C/25 BL C/4,225,"1031,25","515,2500093",270,"1,403599977"
"NEODIA 1,5MG 1 COMP","1,5mg cx 1 comp",62,"1028,899998","521,460001",16,"2,670000076"
NARIDRIN 12H.30ML.,12 H.FR C/30ML.,38,"1028,020031","521,8900108",29,"8,25"
"ABLOK PLUS 50/12,5MG C/30 COMPRI","30 COMPR.50MG/12,5MG",31,"1018,319977","821,2700081",3,"23,63999939"
ALMEIDA PRADO 46 C/60 COMPRIMIDOS,C/60 COMP.COMPLEXO HOMEOPATICO N.46,36,"1005,840008","808,8900089",4,"21,43330002"
LACTO PURGA C/6 COMPR.,C/6 COMPR.,302,"1001,559994","792,7800233",15,"2,39199996"
ACEBROFILINA,xpe fr 120ml adu,35,"986,0899887","493,029994",63,"8,109999657"
VENAFLON,450+50MG CX 30 COMP REV,14,"968,2099915","504,8100052",3,"21,73999977"
NOVOPRAZOL 20MG C/28 COMP(+) - GLOBO,,49,"938,7399807","469,399991",25,"3,905600071"
CITRATO DE SILDENAFILA,50mg cx 2 comp,29,"938,4400177","495,1100082",14,"5,369999886"
PANTOPRAZOL,40mg cx 28 comp rev,17,"938,3000031","469,1500015",1,"9,640000343"
IUMI,"24 3/0,02 mg x 3 cart comp rev",7,"935,1800232","748,1399918",1,"93,73999786"
VONAU,FLAXH 8MG CX 10 COMP DES ORAL,14,"927,3200226","731,9299927",1,"49,86000061"
BETATRINTA INJ 1ML SEG,,45,"918,8999748",735,2,"15,18999958"
HYTOS PLUS XPE 100 ML.,VD C/100 ML.,43,"914,0599861","684,6800079",12,"13,94999981"
"DIPROSPAN AMPOLA 1 ML""INJETAVEL""""",NORMAL,28,"904,839962","719,1299915",1,"25,15999985"
OSSOTRAT-D (CARBONATO CALCIO 600+D),CARBONATO DE CALCIO 600+D C/600,14,"904,029995","549,829998",1,"16,05500031"
NEBULIZADOR G-TECH MODELO NEBCOM V BRANCO,,6,900,780,6,"84,98999786"
K-MED GEL LUBRIFICANTE 50 GR,GEL LUBRIFICANTE,71,"887,5","629,5",23,"5,25"
BETACORTAZOL CREME 30 GRS,BELFAR 30 GRS (NOVACORT),23,"885,9600182","442,9800091",-9,"7,989999771"
QLAIRA,cx 28comp sendo 26hormonios+2place,17,"884,5900078","733,8399773",1,"41,38000107"
MOPH DERME LOCAO OLEOSA  A.G.E 100ML,,73,876,"739,2000036",28,"3,950000048"
ABRILAR XAROPE 100 ML,100 ML,19,"870,2600212","696,6000023",2,"35,77000046"
DAFLON,1000 cx 30 comp,7,"866,4599915","693,1399765",2,"100,1699982"
VICK VAPORUB,12G,10,"865,3100328","628,0500078",2,"224,9900055"
PANTOPRAZOL,40MG CX 28 COMP,7,"851,1500092","425,5800056",2,"20,43000031"
FLORATIL,100mg cx 12 cap,21,"843,7299728","686,0899792",2,"28,36000061"
LUFTAL MAX COMP.C/10,DIMETICONA 125 MG,36,"836,0800247","659,5200005",-4,"17,36499977"
PANTOVIT 10ML ABACAXI C\60,,6,"831,6000366","415,8000183",0,"19,5"
NEBLOCK,5mg cx 60 comp,7,"831,390007","665,120018",1,"91,09999847"
RESFENOL,20 CAPSULAS,21,"828,2399712","436,2299862",18,"9,220000267"
APEVITIN BC SOL. 240 ML,BC SOLUCAO 240 ML.,23,"824,9800148","419,5700073",4,"9,297499657"
ANADOR C/4 COMPR.,CX.128 X 4 = 512 COMP.  ***,224,"822,180006","615,8200088",417,"1,245900035"
ALLEGRA D C/10 COMPR.,D C/10 COMPR.,16,"820,0699997","656,0299721",5,"39,31999969"
GASTROL EFERV.ABACAXI UNID.,ABACAXI CX.C/50 UNID.,416,"819,5200119","441,2400045",617,"0,779399991"
SORINE SSC,"0,9% sol nas fr spr 100ml",24,"816,2400055","659,7099838",1,"26,38999939"
BENICAR,20mg cx 30 comp,15,"815,5299988","657,8100014",1,"40,36999893"
CETOPROFENO,20mg sol or fr gts 20ml,48,"810,3600311","421,9200172",7,"3,160000086"
SAL DE FRUTA ENO 100G LARANJA,LARANJA 100 G,41,"809,4999676","647,5800056",8,"15,43330002"
COGMAX,cx 60 caps,9,"799,2499771","646,4399719",1,"67,65000153"
IBUPROFENO,600mg cx 20 comp,39,"799,0500183","399,5400095",51,"5,695799828"
TORSILAX C/100 CPR(25 X 4),,7,"791,6600113","395,8300056",10,"30,95999908"
ANGELIQ,28 COMPRIMIDOS,8,"786,2399902","619,1400146",0,"72,52999878"
DAFLON 500 MG C/30 COMPRIMIDOS,C/30 COMPRIDOS,9,"785,1599808","628,1100082",3,"66,05999756"
DORIL CARTELA C/6 COMPR.,COM CART 6                                 ,107,"770,2699943","541,4900086",75,"5,217999935"
NOVOPRAZOL 20MG C/56 COMP (+) - GLOBO,,24,"769,1999817","400,740015",11,"4,230000019"
MERTHIOLATE 30 ML ,NOVA FORMULA 30 ML,45,"767,4100208","620,6600103",0,"12,93000031"
APLAUSE 20 MG C/30 COMP,MARJAN20MG C/30 COMP,8,"764,219986","611,3999939",0,"73,59999847"
NEOCOPAN,"6,667+333,4mg/ml sol fr gts 20ml",56,"760,0399971","595,4500132",7,"6,679399967"
BESILATO DE ANLODIPINO,10mg cx 30 comp,17,"757,9099884","401,2000065",2,"8,409999847"
HYABAK SOL. OFT. 10ML,sol oft fr x 10ml,12,"755,2799988","616,9199905",3,"46,61999893"
FEMINA,150+20mcg cx 63 comp,12,"755,0000114","603,9799995",1,"46,16999817"
GLIFAGE XR,1g bl 30 xr comp,19,"752,5600052","602,0099945",1,"28,80999947"
AIXA,"2+0,03mg cx 63 comp rev",6,"743,9400101","595,1699982",2,"87,01000214"
SOMALGIN CARDIO 100MG C/32 COMPR,CARDIO 100 MG C/32 COMPR,38,"738,4199982","602,2799931",1,"14,53999996"
COLIRIO GEOLAB,"0,15+0,3mg/ml sol oft fr 20ml",63,"736,0599928","371,6699963",12,"4,010000229"
PANTODEX,30G,41,"734,370018","391,2900114",9,"6,28000021"
ECOS  XAROPE 120 ML,UNIAO QUIMICA,33,"727,9900036","487,8299847",14,"9,020000458"
NOVAMOX 2X C/14 COMPR.875 MG.,875 MG./125 MG.C/14 COMPR.,9,"727,5699997","582,0799866",1,"58,61500168"
BUSCOFEM,400mg cx 10 cap,33,"723,0100098","582,9899864",5,"16,71999931"
PANTOPRAZOL 40MG 28 COMP,40mg cx 28 comp rev,6,"720,6600037","360,3500061",0,"6,811200142"
SELOZOK 25MG 30 COMP,25mg cx 30 comp,26,"717,1599846","573,8000069",2,"21,29999924"
MICROVLAR,C/21,92,"716,2599969","579,2099867",12,"5,888299942"
ADVIL,400mg cx 8 cap (NAC),39,"712,5499687","570,0600071",1,"13,05000019"
LORATAMED,CX 12 COMP,46,"706,7600174","353,1800032",20,"1,289999962"
BENATUX,CX 12 PAST SB MENTA,45,"705,9799805","431,3499947",14,"4,570000172"
EMSEXPECTOR,xpe fr 120ml,33,"695,8100224","373,260005",16,"6,244999886"
PERIOGARDE,250ML,25,"687,5","599,5",8,"21,97999954"
- PARACETAMOL 750MG 24 CPS / GEN PARACETAMOL,,49,"681,0999813","340,5499907",46,"3,040600061"
XANTINON,100+20mg cx 30 comp rev,75,"678,2099819","546,0300035",45,"7,052499771"
NEBULIZADOR G-TECH MODELO NEBCOM V,,5,675,630,0,89
JARDIANCE 25MG 30COMP,25mg cx 30 comp rev,3,"672,0600128","537,6600037",1,"173,0099945"
BAND-AID TRANSPARENTE 10 UNID.,10 UNIDADE,315,"664,5000029","664,5000029",166,"3,049999952"
ARLIVRY 7MG/ML, 100ML SABOR MEL,14,"664,3699989","332,149992",4,"6,480000019"
BIPROSLAN,1ML AMP+SER,34,"663,6800156","331,8400078",4,"6,809999943"
FLUCONAZOL 150MG 2 CAPS,150mg cx 02 cap,38,"660,4399681","330,2199841",22,"2,49000001"
"FITA MICROP.2,5CMX4,5MTS",,132,660,660,-30,29
ALEKTOS,20mg cx 30 comp,7,"658,9099808","517,7000122",0,"70,94000244"
VITERGYL C 1G C/10 CPR EFERV LARANJA,,39,"658,5","329,3500023",3,"3,809999943"
DICLOFENACO DE DIETILAMONIO,10mg gel bg 60g,57,"657,5","354,0500002",13,"5,199999809"
CIALIS 20 MG.C/2 COMPR.,20 MG.C/2 COMPR.,6,657,"520,1199951",7,"80,15000153"
CLOPIN,75mg cx 30 comp rev,10,"654,2899818","523,4499969",1,"34,31999969"
KOIDE D,120ML,18,"647,730011","521,9000015",3,"26,19000053"
"VENZER HCT 16+12,5MG 30 COMP","16+12,5mg cx 30 comp",10,"646,9700012","517,5699959",0,"46,36000061"
COMBIRON,COMP,19,"645,2700195","511,1300106",3,"26,52000046"
HISTAMIN 2 MG,20 COMPRIMIDOS,65,"644,0800161","357,739994",26,"3,50999999"
VIDENFIO,4 COMP,29,"643,2200089","487,9600067",13,"7,875699997"
VASTAREL MR,35mg cx 30 comp rev,9,"627,210022","508,7200012",2,"51,45999908"
BEPANTOL DERMA CREME 20G,derma creme bg 20g,25,"626,4699898","576,3299885",1,"15,78999996"
MAXALGINA 20 ML DIP SODICA NAT,,41,"625,25","312,8300047",-21,"1,599400043"
FELDANAX,20mg cx 15 cap,53,"623,4099903","321,2500019",24,"3,480000019"
ENDCOFF C/12 PASTILHAS MEL E LIMAO ,CX C/12 PASTILHAS (3 STRIP X 4 PAST               ,39,"623,2199821","420,2099895",37,"9,930000305"
BIOFENAC,"11,6mg/g sol ser tb x 60g",29,"621,3799782","501,380024",3,"16,17000008"
DIP BETAMETASONA+FOSF DISSODICO DE BETAMETASONA,5+2mg/ml sus inj 6 amp x 1ml,6,"621,1799927","310,5999985",0,"19,28499985"
PANTOGAR  ,CAIXA 30 COMP,8,620,496,2,"57,70000076"
PEROLA,75mcg cx 3 x 28 comp,7,"618,719986","513,1999893",0,"65,87999725"
BROMOPRIDA,COMP ,27,"618,5599957","309,3500013",47,"5,517499924"
*TAMIRAM 750MG CPR 1X5-OUTROS,,7,"614,0299988","491,1999893",1,"68,22000122"
KELO-COTE,15 G,4,"610,2399902","496,1500092",2,"117,4599991"
DERMS BISNAGA 30 G,30 GR PRATA,17,"610,1699829","333,5900021",10,"19,55999947"
CORDAREX 5MG,30 COMP,24,"604,6499958","483,7400093",4,"18,23999977"
LISADOR,CX 16 COMP,21,"604,3800144","483,5599995",10,"21,93499947"
CEFALIV COMPR. C/12,ACHE,38,"600,3599815","486,4800072",3,"12,34329987"
PURAN 75 MG.C/30 COMPR.,75 MG.C/30 COMPR.,39,"598,5199862","484,7600069",3,"11,6267004"
TANTIN,84 COMPRIMIDOS,10,"597,2399902","477,7999878",0,"42,45999908"
ACEBROFILINA,10mg xpe fr 120ml adu,21,"588,6599884","294,3299942",21,"8,460000038"
AEROLIN SPRAY C/200 DOSES     *,SPRAY C/200 DOSES,15,"587,3299942","473,8999901",6,"18,15999985"
BETADINE,24mg cx 30 comp,21,"585,8399963","468,6000023",3,"20,59000015"
"DRAMIN  C/10 COMPRIMIDOS""""SIMPLES""""",CX.C/40X10 ENV.,127,"583,0500193","466,5400097",0,"3,42750001"
TOBREX COLIRIO 5 ML,5 ML COLIRIO,21,"580,9600124","475,730011",3,"20,94499969"
ARTROSIL 160 MG,10 CAPSULAS,23,"579,8100052","466,2800045",1,"19,04000092"
SINOT CLAV,875+125mg fr 14 comp,7,"574,2199936","459,3800049",2,"60,77999878"
NEOLEFRIN,"40mg+1mg+0,4mg/ml xpe fr 60ml",30,"573,0599899","302,630002",13,"6,039999962"
BUSCOPAN PLUS C/20,PLUS COMPR C/20,26,"571,7799835","459,339983",2,"17,42670059"
NAN AR F.I NESTLE 800G,,12,"569,519989","370,2000046",0,"30,88330078"
TYLENOL BEBE GOTAS 15 ML.,GOTAS 15 ML BEBE,17,"567,7200241","454,1700039",2,"25,38999939"
TRIQUILAR C/21 DRG,,61,"567,3899841","452,6899967",4,"6,965000153"
SECNIMAX,1000mg cx 4 comp,19,"563,9500084","281,9900045",7,"6,25"
NEUTROGENA SUN FRESH CORPO FPS30 200ML-OUTROS,,13,"561,3000107","492,1800003",3,"28,21999931"
"ESPARADRAPO 2,5CMX4,5MTS.C/12 MISSNER-",,60,"559,1999817","327,1399899",-12,32
FLUCONID 150MG 2 CAP,150mg bl 2 cap gel,23,"559,0800056","279,5300026",1,"1,649999976"
DELTAMETRIL,"0,2mg shampoo fr 100ml",31,"558,4399834","365,0699892",2,"5,699999809"
FLORATIL PED.1 G C/4 ENVELOPE,COD.(7891721000126)1 G C/4 ENV.,19,"551,9799957","450,3900032",2,"20,38999939"
XIGDUO XR 10+1000MG 30COMP,10+1000mg cx 30 comp rev,3,"548,4000092","429,5800171",0,"141,1799927"
NEUTROGENA SUNFRES FPS60 200ML,,9,"548,1000137","487,2000122",2,"40,91999817"
COREGA ULTRA 19G,ultra creme 19g,35,"547,8000126","523,2400074",8,"17,375"
SYSTANE UL 10ML,fr 10ml,12,"545,8799973","441,5499878",3,"38,15000153"
HIPOGLOS 45G,POMADA,33,"545,5200005","424,2399998",11,"13,70499992"
VERTIZINE D COMPR. C/20,C/20 COMPRIMIDOS,8,"544,0299835","435,25",1,"48,97999954"
"EBASTEL 10 MG C/10 COMP""EUROFARMA""","C/10 COMP""EUROFARMA""",11,"543,9400139","435,1699982",2,"39,54000092"
DROXY,25mg cx 30 comp,20,"540,4000092","278,3100052",1,"7,011199951"
ALBENDAZOL 4%,10 ML,83,"535,1599894","267,3600023",14,"1,947199941"
BISSULATO DE CLOPIDOGREL 75MG,28 COMPRIMIDOS,4,"534,7000122","306,6100006",7,"24,29999924"
PROCTYL,POM BG 30G,10,"528,7900124","423,0299911",0,"41,40000153"
VICK VAPORUB 30 GR.,30 GR.,24,"528,1800041","426,9700003",0,"18,69000053"
BESILATO DE ANLODIPINO,5 mg cx 30 comp,22,"528,1199913","267,0699959",10,"4,038799763"
NEOSALDINA GOTAS,15 ML,20,"528,0199966","427,3800049",2,"20,06999969"
FUROSEMIDA,40mg cx 20 comp branco,65,"523,5499897","289,6800001",19,"2,730000019"
PREDNISOLONA,60ML,35,"521,9200039","268,3600025",12,"6,328299999"
AVAMYS,"27,5mg spray nas 120 dos",10,"521,9199905","417,5200043",3,"39,66999817"
BENICAR ANLO,40+5mg cx 30 comp rev,7,"519,0500107","421,1699982",1,"54,27000046"
TYLENOL GOTAS CONC. 15 ML      *,15 ML GOTAS,22,"517,8800201","423,6800003",2,"16,7133007"
PERGO,2mg/ml sol or fr 120ml,15,"514,3899879","414,6599922",1,"26,30999947"
CLENIL A,10 FLAC,8,"514,1400185","411,2899971",0,"48,29999924"
FLAVONID (DIOSMINA) 450/50MG C/30,450/50MG C/30,7,"513,7300034","278,890007",6,"18,29000092"
LUFTAL C/20 COMPR.,CX.C/20 COMPR,27,"512,9999943","410,4600019",6,"14,25"
NARIDRIN 15 ML.,AD FR C/ 15ML.,30,"509,4999886","273,7299967",19,"4,888800144"
BENICARANLO,20+5mg cx 30 comp rev,8,"505,6699944","404,5599937",1,"48,00999832"
ACEBROFILINA,50 mg xpe fr 120ml,18,"504,3600082","252,1800041",2,"8,175700188"
NOVALGINA SOL.ORAL 100 ML  *,100 ML,21,"504,350008","398,6500053",2,"18,14500046"
ALLEGRA PEDIATRICO,60 ML,19,"504,1000061","403,2799988",2,"20,71999931"
SERINGA DESC.3ML C/AG.25X07 DESCARPACK-UNIDADE-,,500,500,400,300,"0,300000012"
BISMU JET SOL 20ML.,VD C/20 ML.,19,"498,4800014","281,6400023",15,"10,2833004"
NITAZOXANIDA 500MG C/06 COMP REV ,,10,"497,7999878","318,5799942",1,"19,23999977"
APRACUR,6 COMPRIMIDOS,62,"496,8899903","401,3300061",31,"5,557199955"
CALCIUM SANDOZ FF,1750+2263mg cx 10 comp efv,17,"495,7199974","459,6000042",4,"21,17000008"
DIMEZIN 125MG 10 CAPS,125mg cx 10 cap,33,"494,6000004","254,6000004",5,"3,730000019"
NOVACORT CREME 30 G,"CREME""ACHE""30 GR",17,"490,3800011","392,3000011",3,"22,77000046"
NEBACETIN,POMADA BG 15G,30,"489,930006","387,1999893",5,"12,27999973"
LACRIMA PLUS COLIRIO 15 ML,PLUS 15 ML,24,"489,8699932","399,5200005",2,"16,10499954"
PRESERVATIVO BLOWTEX RETARDANTE,3 UNIDADES,81,486,"484,8000002",116,"4,25"
SYNTHROID 100MCG COMPR.C/30 AMAR,100 MG C/30,13,"479,7000046","378,279995",1,"26,72999954"
TAPAZOL ,10MG CX 50 COMP,18,"479,4800034","372,9799843",0,"20,01000023"
NEO FOLICO (ACIDO FOLICO) 5MG,ACIDO FOLICO 5MG,51,"478,699995","225,3900003",0,"2,53670001"
MYLICON GOTAS 15 ML (DIMETICONA),GOTAS 15 ML,21,"477,6599922","383,4400024",3,"17,12999916"
ASSEPTCARE,10mg sol top spray fr 50ml,25,"477,1599884","253,7499943",7,"5,519999981"
TINIDAZOL NITRATO DE MICONAZOL,CREME 45G,15,"475,1300106","237,5300026",14,"11,39500046"
RIFOCINA SPRAY 20 ML,SPRAY 20 ML,16,"473,7399979","379,0199928",2,"22,01000023"
PRELONE,3mg sol or fr 60ml+pip dos,19,"473,6599941","393,8600101",4,"18,87000084"
"MODURETIC 25/2,5",COMPRIMIDO,36,"473,5800133","381,5099926",4,"10,22000027"
REPOFLOR C/12 CAPSULAS,CAPSULAS,13,"472,159996","236,079998",0,"12,09000015"
ANNITA 500MG 6 COMPRIMIDOS,6 COMPRIMIDOS,6,"469,5","375,6000023",2,"60,20999908"
